colors,type,freq
black,spoken,20335
black,fiction,41118
black,academic,26892
black,press,73080
blue,spoken,4693
blue,fiction,22093
blue,academic,3605
blue,press,21210
brown,spoken,1185
brown,fiction,10914
brown,academic,1201
brown,press,11539
gray,spoken,1168
gray,fiction,12140
gray,academic,1289
gray,press,6559
green,spoken,3860
green,fiction,14398
green,academic,4477
green,press,26837
orange,spoken,931
orange,fiction,3496
orange,academic,474
orange,press,5766
pink,spoken,962
pink,fiction,7312
pink,academic,584
pink,press,6356
purple,spoken,613
purple,fiction,3366
purple,academic,429
purple,press,3403
red,spoken,7230
red,fiction,25111
red,academic,5621
red,press,34596
white,spoken,14474
white,fiction,40745
white,academic,26336
white,press,54883
yellow,spoken,1349
yellow,fiction,10553
yellow,academic,1855
yellow,press,10382
